source_dir,algorithm,reward_name,reward_key,episodes,policy,grid_import_kwh,export_kwh,net_consumption_kwh,discomfort_proportion,discomfort_cold_proportion,discomfort_hot_proportion,all_rewards,cost_total_ratio,carbon_emissions_total_ratio,daily_peak_average_ratio,ramping_average_ratio,savings_vs_fixed_pct,train_sec,stability_episode,last_10_episode_reward_mean
outputs_q_learning1804_05_2,Q-learning,SelfSufficiency reward,selfsufficiency,2.0,Q-learning (SelfSufficiency reward),1274.404,,1119.261,0.9148,,,-1223.09,,,,,69.076,15.15,,-4300.381
outputs_q_learning1804_05,Q-learning,SelfSufficiency reward,selfsufficiency,50.0,Q-learning (SelfSufficiency reward),1672.873,,1537.487,0.7559,,,-1625.981,,,,,59.407,394.0,,-2276.932
outputs_q_learning1804_05_200_copy,Q-learning,SelfSufficiency reward,selfsufficiency,200.0,Q-learning (SelfSufficiency reward),1232.561,,1087.622,0.9294,,,-1183.04,,,,,70.091,1628.8,87.0,-1449.266
outputs_q_learning2404_02_01,Q-learning,Solar reward,solar,1.0,Q-learning (Solar reward),1549.233,,1404.143,0.7248,,,-1381.667,,,,,62.407,7.69,,-3831.115
outputs_q_learning0105_02,Q-learning,Solar reward,solar,2.0,Q-learning (Solar reward),1504.786,,1269.645,0.7904,,,-1394.025,,,,,-42.829,15.53,,-3826.466
outputs_q_learning1804_05_2,Q-learning,Solar reward,solar,2.0,Q-learning (Solar reward),1838.63,,1690.903,0.5755,,,-1688.19,,,,,55.385,15.43,,-3845.079
outputs_q_learning1804_05,Q-learning,Solar reward,solar,50.0,Q-learning (Solar reward),1623.659,,1463.781,0.7464,,,-1439.965,,,,,60.601,383.68,,-2203.455
outputs_q_learning1804_05_200_copy,Q-learning,Solar reward,solar,200.0,Q-learning (Solar reward),1470.652,,1333.219,0.7765,,,-1345.942,,,,,64.314,1594.0,153.0,-1394.255
outputs_q_learning0105_06,Q-learning,Solar alignment,solar_alignment,50.0,Q-learning (Solar alignment),1080.409,34.662,1045.747,0.4067,,,-981.483,,,,,-2.483,161.29,20.0,-1021.78
outputs_q_learning0105_07,Q-learning,Solar-price arbitrage,solar_price_arbitrage,50.0,Q-learning (Solar-price arbitrage),1078.898,33.902,1044.996,0.4067,,,-2780.566,,,,,-2.339,128.54,20.0,-2962.191
outputs_q_learning2404_02_01,Q-learning,Storage reward,storage,1.0,Q-learning (Storage reward),1549.233,,1404.143,0.7248,,,-1593.311,,,,,62.407,7.57,,-4374.529
outputs_q_learning0105_02,Q-learning,Storage reward,storage,2.0,Q-learning (Storage reward),1504.786,,1269.645,0.7904,,,-1604.232,,,,,-42.829,16.37,,-4368.297
outputs_q_learning1804_05_2,Q-learning,Storage reward,storage,2.0,Q-learning (Storage reward),1838.63,,1690.903,0.5755,,,-1904.671,,,,,55.385,15.64,,-4389.403
outputs_q_learning0105_03,Q-learning,Storage reward,storage,30.0,Q-learning (Storage reward),1197.251,,1010.853,0.935,,,-1252.365,,,,,-13.639,236.03,,-3040.188
outputs_q_learning0105_04,Q-learning,Storage reward,storage,50.0,Q-learning (Storage reward),1114.202,60.068,1054.134,0.4067,,,-1114.202,,,,,-5.688,131.18,20.0,-1130.137
outputs_q_learning1804_05,Q-learning,Storage reward,storage,50.0,Q-learning (Storage reward),1500.157,,1386.75,0.8183,,,-1551.692,,,,,63.598,383.62,,-2504.578
outputs_q_learning1804_05_200_copy,Q-learning,Storage reward,storage,200.0,Q-learning (Storage reward),1272.885,,1156.162,0.8911,,,-1329.182,,,,,69.113,1625.2,102.0,-1582.478
outputs_q_learning0505_02,Q-learning,Storage reward,storage,250.0,Q-learning (Storage reward),1125.956,171.89,954.065,0.9611,0.0014,0.9597,-1180.416,0.4149,0.446,0.7194,1.0076,72.678,2175.16,102.0,-1540.685
outputs_q_learning2404_02_01,Q-learning,TimeOfUse reward,timeofuse,1.0,Q-learning (TimeOfUse reward),1874.889,,1729.798,0.6136,,,-2487.229,,,,,54.505,7.56,,-5691.519
outputs_q_learning0105_02,Q-learning,TimeOfUse reward,timeofuse,2.0,Q-learning (TimeOfUse reward),1504.786,,1269.645,0.7904,,,-2036.535,,,,,-42.829,19.29,,-5766.077
outputs_q_learning1804_05_2,Q-learning,TimeOfUse reward,timeofuse,2.0,Q-learning (TimeOfUse reward),1838.63,,1690.903,0.5755,,,-2538.91,,,,,55.385,15.12,,-5762.253
